name,amenity,shop,leisure,lon,lat,walking_time_min,distance_m,yandex_url,url_status,jsonfile
Eurospar,,supermarket,,37.70605165649395,55.80193954123161,8.7,717.6,https://yandex.com/maps/org/eurospar/174888074779/,found,Eurospar_20260305_154736.json
,,,pitch,37.71169391127401,55.807312614949176,8.7,719.6,,skipped_unnamed,
,,,playground,37.7167989,55.79765860000001,8.7,723.7,,skipped_unnamed,
Стоматологическая поликлиника №56,dentist,,,37.72168130120411,55.80101267567745,8.8,730.2,https://yandex.com/maps/org/dental_clinic_56/1013953134/,found,Стоматологическая_поликлиника___56_20260311_084638.json
Магнит,,supermarket,,37.7209894,55.8065149,8.8,730.5,https://yandex.com/maps/org/magnit/237104845021/,found,Магнит_20260305_150705.json
,cafe,,,37.7181041,55.7973381,8.8,732.7,https://yandex.com/maps/org/zdraste/39895408342/,found,Здрасте_20260311_084705.json
Эверест,,supermarket,,37.7180859,55.7973105,8.8,732.7,https://yandex.com/maps/org/everest/238268748040/,found,Эверест_20260305_152458.json
,,,playground,37.71083730208543,55.80741702185479,8.9,740.2,,skipped_unnamed,
,,,pitch,37.714241,55.80895985,8.9,740.3,,skipped_unnamed,
Авоська,,supermarket,,37.7188713,55.7986354,8.9,744.8,https://yandex.com/maps/org/avos_ka/96058051755/,found,Авоська_20260305_152604.json
,,,playground,37.70803345054751,55.806520257468655,9.0,747.7,,skipped_unnamed,
,,,pitch,37.70854939007136,55.80673154474359,9.0,748.4,,skipped_unnamed,
,,,playground,37.71721776558789,55.7977267407287,9.0,748.8,,skipped_unnamed,
Мосгорсуд,,,,37.7045376,55.802812,9.1,751.4,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260305_155539.json
,,,playground,37.72306435000001,55.80188950000001,9.0,753.1,,skipped_unnamed,
,,,playground,37.71695329999999,55.79754024999999,9.0,753.6,,skipped_unnamed,
Мосгорсуд,,,,37.7046435,55.8027274,9.1,755.3,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260311_084835.json
Олдент,dentist,,,37.7050067,55.8025071,9.1,756.5,https://yandex.com/maps/org/oldent/56491907564/,found,ОлДент_20260311_085021.json
"Гимназия №1080, дошкольное отделение 1",kindergarten,,,37.72065962124005,55.799211263819615,9.1,757.2,https://yandex.com/maps/org/gbou_gimnaziya_1799_ekopolis_doshkolnoye_otdeleniye_1/1046778636/,found,Школа___1080__дошкольное_отделение___1_20260305_152925.json
Метро «Преображенская площадь»,,,,37.7146709,55.7977091,9.2,760.4,,skipped_street,
,,clothes,,37.707105,55.8068168,9.1,761.6,https://yandex.com/maps/org/odezhda/200178825577/,found,Одежда_20260311_085047.json
Take and Wake,fast_food,,,37.717169,55.797235,9.2,763.6,https://yandex.com/maps/org/take_and_wake/237854165255/,found,Take_and_Wake_20260311_085105.json
Поликлиника №149,clinic,,,37.72290247426906,55.80121906495246,9.2,764.4,https://yandex.com/maps/org/cdc_2_branch_2/173628682733/,found,Консультативно-диагностический_центр___2__филиал___20260305_153258.json
,,,playground,37.71574020416499,55.80845965151229,9.2,766.7,,skipped_unnamed,
Чайхана,cafe,,,37.7187493,55.7972275,9.2,767.7,https://yandex.com/maps/org/chaykhana_samarkand/101739513601/,found,Чайхана_Самарканд_20260311_085151.json
Метро «Преображенская площадь»,,,,37.7145171,55.7976795,9.2,767.9,,skipped_street,
Cofix,fast_food,,,37.7175032,55.7972531,9.2,769.7,https://yandex.com/maps/org/cofix/14021024233/,found,Cofix_20260311_085220.json
DHL,post_office,,,37.7175155,55.7972103,9.2,770.3,https://yandex.com/maps/org/dhl/70418144506/,found,DHL_20260311_085238.json
У Палыча,,convenience,,37.717432,55.7971995,9.3,775.6,https://yandex.com/maps/org/u_palycha/1769726260/,found,У_Палыча_20260305_153328.json
,,,pitch,37.71585969153554,55.80836376739807,9.4,777.9,,skipped_unnamed,
,,,playground,37.72470543442866,55.80446885151685,9.4,779.3,,skipped_unnamed,
"Не плачь, пей кофе",cafe,,,37.7247467,55.8055592,9.4,782.0,https://yandex.com/maps/org/neplach_coffee/60796792770/,found,не_плачь__пей_кофе_20260311_085351.json
,,,playground,37.70486800687272,55.801399512855554,9.5,785.3,,skipped_unnamed,
Библиотека №107,library,,,37.7070492,55.8066246,9.4,786.5,https://yandex.com/maps/org/library_107/89476355455/,found,Библиотека___107_20260311_085411.json
,,,playground,37.71540734999999,55.79765099999999,9.5,788.1,,skipped_unnamed,
ВТБ,bank,,,37.7190545,55.7971346,9.5,791.9,https://yandex.com/maps/org/vtb_bank/1058116075/,found,Банк_ВТБ_20260311_085507.json
Мосгорсуд,,,,37.7039063,55.802638,9.6,795.4,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260305_160943.json
Бэби-клуб,childcare,,,37.7190605,55.8073108,9.6,798.1,https://yandex.com/maps/org/baby_club/1400546597/,found,Бэби-клуб_20260311_085530.json
One Price Coffee,fast_food,,,37.7170596,55.7971771,9.6,798.6,https://yandex.com/maps/org/one_price_coffee/72243830958/,found,One_Price_Coffee_20260311_085611.json
Мосгорсуд,,,,37.7038733,55.8026828,9.7,799.9,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260305_160943.json
,atm,,,37.7170095,55.7971163,9.6,803.6,https://yandex.com/maps/org/t_bank/217711506257/,found,Т-Банк_20260311_085627.json
Апрель,pharmacy,,,37.7255078,55.8040026,9.7,804.6,https://yandex.com/maps/org/april/56643692262/,found,Апрель_20260311_085656.json
Горздрав,pharmacy,,,37.7169603,55.797159,9.7,805.2,https://yandex.com/maps/org/gorzdrav/1168376636/,found,Горздрав_20260311_085727.json
Здоров.ру,pharmacy,,,37.7168931,55.7971549,9.7,809.3,https://yandex.com/maps/org/zdorov_ru/191708198284/,found,Здоров_ру_20260311_085814.json
,,,playground,37.72010281978164,55.79824535567049,9.7,809.8,,skipped_unnamed,
Дракон,,,playground,37.72180633290583,55.799676508401646,9.7,811.7,https://yandex.com/maps/org/chyorny_drakon/107443570429/,found,Чёрный_Дракон_20260305_153909.json
Москва 107076,post_office,,,37.7041251,55.8023635,9.8,813.9,,not_found,
Хлебница,,bakery,,37.7256185,55.8036101,9.8,815.2,https://yandex.com/maps/org/hlebnitca/121412451478/,found,Хлебница_20260311_085842.json
Панин и Ко,,supermarket,,37.716816,55.7971127,9.8,815.3,https://yandex.com/maps/org/panin_i_co/212761008917/,found,Панин_и_Ко_20260305_153933.json
Метро «Преображенская площадь»,,,,37.7172098,55.7967993,9.8,815.6,,skipped_street,
Метро «Преображенская площадь»,,,,37.7171683,55.7968776,9.8,815.7,,skipped_street,
